City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,north ward,-19.2454,146.8075,30.95,70,20,5.66,AU,1737755875
135,afaahiti,-17.75,-149.2833,26.29,80,46,6.74,PF,1737755876
136,lata,40.1629,-8.3327,13.6,69,96,4.32,PT,1737755879
137,hithadhoo,-0.6,73.0833,27.99,75,62,5.4,MV,1737755880
138,sinabang,2.4803,96.3801,24.42,94,100,2.86,ID,1737755881
139,lebu,-37.6167,-73.65,16.25,71,5,8.89,CL,1737755882
140,leua,48.2156,18.6071,2.61,92,64,2.06,SK,1737755883
141,kandava,57.0409,22.7747,1.86,82,100,6.23,LV,1737755885
142,yanchep,-31.55,115.6833,21.55,89,100,2.77,AU,1737755886
143,vorgashor,67.5833,63.95,-21.7,100,98,0.76,RU,1737755887
144,masterton,-40.9597,175.6575,24.54,45,66,2.75,NZ,1737755888
145,thompson,55.7435,-97.8558,-4.91,86,100,4.12,CA,1737755889
146,charters towers,-20.1,146.2667,26.74,73,15,2.28,AU,1737755891
147,nemuro,43.3236,145.575,1.75,84,99,5.82,JP,1737755892
148,pangody,65.85,74.4859,-14.26,97,100,2.53,RU,1737755893
149,vallenar,-28.5708,-70.7581,28.86,31,0,3.23,CL,1737755894
150,uturoa,-16.7333,-151.4333,28.08,75,60,6.08,PF,1737755895
151,kupang,-10.1667,123.5833,25.32,100,75,1.03,ID,1737755897
152,nuuk,64.1835,-51.7216,-9.66,67,75,6.17,GL,1737755898
153,st. john's,47.5649,-52.7093,-3.25,81,20,5.14,CA,1737755641
154,vila velha,-20.3297,-40.2925,27.97,82,40,4.12,BR,1737755900
155,tura,25.5198,90.2201,11.4,69,6,1.28,IN,1737755901
156,natal,-5.795,-35.2094,28.12,74,20,5.14,BR,1737755903
157,mora,11.0461,14.1401,21.9,20,31,1.96,CM,1737755904
158,mahalapye,-23.1041,26.8142,25.54,41,6,2.85,BW,1737755905
159,sisimiut,66.9395,-53.6735,-14.5,92,100,2.22,GL,1737755906
160,galax,36.6612,-80.924,0.56,57,100,3.6,US,1737755908
161,crucecita,-28.95,-58.9833,26.47,65,76,7.44,AR,1737755910
162,salekhard,66.53,66.6019,-25.34,97,98,1.38,RU,1737755911
163,bedesa,8.9,40.7833,15.08,48,5,2.0,ET,1737755912
164,luanda,-8.8368,13.2343,26.0,73,75,1.03,AO,1737755914
165,nyrob,60.733,56.7202,-9.97,95,100,3.4,RU,1737755915
166,myingyan,21.4667,95.3833,18.87,60,0,0.88,MM,1737755916
167,bredasdorp,-34.5322,20.0403,20.72,85,19,1.4,ZA,1737755917
168,san antonio de pale,-1.4014,5.6325,26.79,79,43,2.83,GQ,1737755918
169,papatowai,-46.5619,169.4708,12.89,86,100,1.09,NZ,1737755920
170,mount isa,-20.7333,139.5,26.87,65,2,3.09,AU,1737755921
171,samarinda,-0.5,117.15,22.59,99,96,0.09,ID,1737755922
172,sola,-13.8833,167.55,28.16,76,99,6.22,VU,1737755923
173,nago,26.5881,127.9761,18.16,91,86,4.89,JP,1737755925
174,tumaco,1.7986,-78.8156,26.55,78,48,4.43,CO,1737755926
175,newman,37.3138,-121.0208,16.7,52,81,1.34,US,1737755927
176,college,64.8569,-147.8028,3.97,84,100,6.17,US,1737755928
177,murzuq,25.9155,13.9184,15.15,22,0,2.69,LY,1737755929
178,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,66,0,5.0,RU,1737755931
179,praya,14.9215,-23.5087,21.3,64,20,7.2,CV,1737755932
180,kaa-khem,51.6833,94.7333,-29.18,84,24,2.39,RU,1737755933
181,ancud,-41.8697,-73.8203,15.6,69,29,3.92,CL,1737755934
182,acarau,-2.8856,-40.12,25.8,79,43,4.21,BR,1737755935
183,punta arenas,-53.15,-70.9167,15.06,51,75,15.43,CL,1737755937
184,wagga wagga,-35.1167,147.3667,20.6,69,100,1.79,AU,1737755921
185,undurkhaan,47.3194,110.6556,-8.86,79,100,7.01,MN,1737755939
186,bamyan,34.75,67.25,-16.73,19,77,2.64,AF,1737755940
187,sitka,57.0531,-135.33,6.94,76,100,5.14,US,1737755941
188,palmer,42.1584,-72.3287,-2.25,43,20,5.66,US,1737755943
189,yanbu,24.0891,38.0637,18.02,68,0,2.06,SA,1737755944
